sku,description,retailprice,upc,name,link,producttype,productid
650-0014,The bend sensor turns on as you flex the long strip.,$15.95,859477003737,bend sensor,http://littlebits.cc/bits/bend-sensor,input,i14 
650-0110,The slide dimmer is an analog input. Adjust it by moving its lever from side to side.,$9.95,859477003676,slide dimmer,http://littlebits.cc/bits/slide-dimmer,input,i5 
650-0007,The remote trigger lets you use a common remote control with your Bits.,$11.95,810876020084,remote trigger,http://littlebits.cc/bits/remote-trigger,input, 
650-0061,The power Bit lets you use a 9-volt battery to supply power to all your connected Bits.,$5.95,810876020329,power ,http://littlebits.cc/bits/littlebits-power,power,p1 
650-0019,"This Bit has a little lever with a wheel, and activates when something pushes the roller in.",$9.95,859477003898,roller switch,http://littlebits.cc/bits/roller-switch,input,i19 
650-0008,This Bit lets you connect to up to 8 outputs and control them in sequential patterns.,$35.95,810876020299,Sequencer,http://littlebits.cc/bits/sequencer,input,i22 
650-0016,The pulse Bit is like an electronic heartbeat. It sends out a stream of short ON signals.,$11.95,859477003843,pulse,http://littlebits.cc/bits/pulse,input,i16 
650-0108,The pressure sensor is a touch-activated Bit. Give its pad a squeeze to activate it!,$17.95,859477003775,pressure sensor,http://littlebits.cc/bits/pressure-sensor,input,i11 
650-0063,Connect a USB cable to your computer or phone charger to start powering your inventions.,$9.95,859477003669,usb power,http://littlebits.cc/bits/usb-power,power,p3 
650-0126,The oscillator creates audio tones that can be manipulated with its pitch nob and tune dial.,$15.95,810876020145,oscillator,http://littlebits.cc/bits/oscillator,input,i31 
650-0023,The MP3 player allows you to play your very own MP3 files using littleBits.,$49.95,810876020688,MP3 Player,http://littlebits.cc/bits/mp3-player,input,i25 
650-0132,The mix Bit allows you to combine 2 inputs and send them to a single output.,$17.95,810876020213,mix,http://littlebits.cc/bits/mix,input,i37 
650-0018,The motion trigger is a sensor that detects the slightest movement around it.,$25.98,859477003614,motion trigger,http://littlebits.cc/bits/motion-trigger,input,i18 
650-0034,"With the vibration motor Bit, you can make anything vibrate and buzz!",$11.95,859477003812,vibration motor,http://littlebits.cc/bits/vibration-motor,output,o4 
650-0131,The micro sequencer sends out voltages based on the position of each of the 4 knobs.,$21.95,810876020176,micro sequencer,http://littlebits.cc/bits/microsequencer,input,i36 
650-0129,This Bit has two modes: “noise” (white noise) and “random voltage” that controls oscillators.,$13.95,810876020152,random,http://littlebits.cc/bits/random,input, 
650-0021,The microphone Bit translates sound into the electronic language of littleBits.,$15.95,859477003973,microphone,http://littlebits.cc/bits/microphone,input,i21 
650-0045,Make certain things glow in the dark with this Bit whose light looks purple to the eye.,$9.95,859477003652,uv led,http://littlebits.cc/bits/uv-led,output,o15 
650-0136,The synth speaker amplifies your sonic explorations.,$19.95,810876020237,synth speaker,http://littlebits.cc/bits/synth-speaker,output,o24 
650-0041,The servo is a controllable motor that can swing back and forth.,$25.95,859477003591,servo,http://littlebits.cc/bits/servo,output,o11 
650-0141,The number Bit displays information about the signal it’s receiving from other Bits.,$25.95,810876020701,number,http://littlebits.cc/bits/number-plus,output,o21 
650-0032,"If you ever wanted an LED in a tiny little space, the long LED is your Bit!",$9.95,859477003690,long led,http://littlebits.cc/bits/long-led,output,o2 
650-0046,"The light blue light wire is about 4 feet long and can be bent, shaped, sewn, or stapled.",$19.95,859477003577,light wire,http://littlebits.cc/bits/light-wire,output,o16 
650-0033,The RGB LED Bit is a special light whose color you can adjust.,$9.95,859477003805,rgb led,http://littlebits.cc/bits/rgb-led,output,o3 
650-0031,The LED (or light-emitting diode) Bit is a very small board that shines a green light.,$7.95,859477003799,led,http://littlebits.cc/bits/led,output,o1 
650-0113,The IR LED Bit sends out light with longer wavelengths than visible light.,$9.95,810876020015,IR LED,http://littlebits.cc/bits/ir-led,output,o7 
650-0112,The fan is just what you'd think: a small electric fan tethered to a Bit.,$15.95,859477003713,fan,http://littlebits.cc/bits/fan,output,o13 
650-0142-001A1,The reversible direct current motor rotates a small shaft you can attach anything to.,$24.95,,DC motor (tethered),http://littlebits.cc/bits/dc-motor-tethered,output, 
650-0036,Bzzz! The buzzer is like the sound in an alarm clock: it makes a noise you just can't ignore.,$11.95,859477003720,buzzer,http://littlebits.cc/bits/buzzer,output,o6 
650-0109-001A2,The bargraph is like an equalizer. Get an instant view of the signal going through.,$11.95,859477003782,bargraph ,http://littlebits.cc/bits/bargraph,output,o9 
650-0087,"The XOR Bit is a logic gate with 2 inputs. Think of it as ""exclusive or.""",$9.95,859477003997,XOR,http://littlebits.cc/bits/xor,wire, 
650-0044,The bright LED (or light-emitting diode) is a small Bit that puts out a big light.,$9.95,859477003874,bright led,http://littlebits.cc/bits/bright-led,output,o14 
